hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,29.6934,270.483,0.333009,-0.203772,0.39040750769548477
2,1,30.1113,270.111,1.22793,-0.489084,1.3217470423481188
3,1,31.0938,269.815,0.0181103,-0.189289,0.19015338147687513
4,1,31.6719,269.343,1.06807,0.513121,1.18493319876734
5,1,34.0791,268.72,-0.309008,0.067894,0.3163787908504614
6,1,34.9229,268.235,0.639157,0.665321,0.9225907563432445
7,1,0.0,268.11,1.12467,-0.0975094,1.1288891406991035
8,1,13.6445,268.888,0.876966,-0.275358,0.9191797393981223
9,1,74.5651,269.343,1.40136,3.21423,3.5064347052953946
10,1,112.332,269.674,1.81486,-0.00456047,1.8148657298782795
11,1,187.782,270.565,0.166133,0.835035,0.851400977750202
12,1,386.172,272.954,0.528425,-1.14918,1.264850842204329
13,1,408.866,275.341,3.56587,1.93202,4.055629437867814
14,1,385.661,275.798,3.86464,0.674026,3.9229776163363463
15,1,338.881,275.084,4.14656,4.03572,5.786276501516325
16,1,183.137,275.08,5.97306,0.275291,5.979400546733845
17,1,124.302,274.3,7.87926,-1.07031,7.951622579304177
18,1,41.256,271.797,6.61964,-2.81209,7.192182137411427
19,1,0.0,270.58,7.70253,-1.79764,7.909518188265326
20,1,37.5049,269.314,5.50776,-2.96846,6.256770332144213
21,1,36.1328,267.924,5.43755,-2.31027,5.907985906838302
22,1,36.2441,267.202,4.88112,-1.34038,5.06181301499769
23,1,32.8535,266.829,5.71219,-1.54933,5.918575677052714
24,1,38.21,266.204,4.70086,-1.25745,4.866134527743761
1,2,30.8184,270.8,1.18701,-2.55582,2.818015012823743
2,2,30.3574,270.474,1.75186,-2.8177,3.317897941408084
3,2,32.1924,270.222,0.566938,-1.75325,1.842635139777813
4,2,33.3887,269.95,7.29853,-1.92389,7.547840280040377
5,2,33.9531,269.469,1.24373,-0.686501,1.4206153370638372
6,2,34.6143,269.219,0.522458,-0.324425,0.6149910100066504
7,2,0.0,269.095,-0.39584,-0.589697,0.7102336639508157
8,2,13.2148,269.167,0.332533,-0.394011,0.5155801239477721
9,2,65.1471,269.52,0.350094,0.902222,0.9677656462801312
10,2,141.699,270.218,-0.567957,1.02962,1.1758794573632962
11,2,210.204,271.295,1.09338,2.41267,2.648859443855034
12,2,354.907,273.375,1.02647,0.0964241,1.0309889756737507
13,2,446.882,275.548,3.79878,0.973034,3.921418704188065
14,2,426.177,275.939,4.48182,1.09102,4.612703670603608
15,2,272.943,276.241,6.5196,1.04158,6.602277868766203
16,2,148.231,275.395,4.71623,0.724022,4.771481244790134
17,2,154.872,274.863,8.37242,-3.03516,8.90559447100529
18,2,56.674,272.983,7.06446,-2.41267,7.465090195067974
19,2,0.015625,270.923,7.32362,-2.8035,7.841876188413076
20,2,36.4375,269.299,8.09272,-2.81368,8.567900101004913
21,2,35.4297,268.424,5.86919,-2.45627,6.36244084994116
22,2,35.6445,267.859,5.54714,-1.02934,5.641835075150637
23,2,30.9746,267.484,6.03641,-1.03858,6.1251035994911955
24,2,31.3662,266.906,5.71453,-0.867802,5.780046144461478
1,3,27.6602,270.429,3.95801,-2.53629,4.700915881421406
2,3,27.543,270.192,-0.153415,-4.31037,4.313099314776441
3,3,30.4561,269.822,-0.224077,-3.00081,3.0091645282418504
4,3,31.5273,269.45,1.23506,-3.07282,3.3117360939543476
5,3,32.6631,269.09,4.3238,-2.47654,4.982820166492064
6,3,33.9229,268.848,4.13037,0.181923,4.134374476850035
7,3,0.0,268.403,0.209141,-0.611181,0.6459738173037666
8,3,19.707,269.324,-1.17381,-4.54635,4.695436959282917
9,3,122.397,270.163,4.05517,1.53699,4.336674069952687
10,3,165.59,270.279,-0.402918,-0.117842,0.4197971554072276
11,3,233.813,270.513,-0.413945,4.34089,4.360582123424004
12,3,336.063,272.217,0.369246,0.859119,0.9351085844312413
13,3,407.444,274.087,3.83979,2.75526,4.726039029853647
14,3,420.349,274.633,5.79383,-1.22929,5.9228050763975
15,3,377.865,274.63,6.37751,0.89851,6.44049330565602
16,3,191.106,273.444,6.85783,-0.636818,6.887333988854032
17,3,136.684,273.194,8.47496,-1.93457,8.692957384371558
18,3,52.2755,271.398,8.33546,-4.46882,9.457813997113709
19,3,0.0,269.506,9.69569,-4.16531,10.552545284062989
