hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,24.9736,263.235,5.29025,2.40222,5.810112390556658
2,1,27.9922,262.97,6.34206,3.02469,7.026412643710872
3,1,28.1357,262.362,4.91171,2.75892,5.633518855076283
4,1,30.8652,261.831,1.41413,4.27886,4.5064849446658535
5,1,41.0889,261.611,1.80534,3.69263,4.110324662663523
6,1,45.0557,261.25,1.71973,3.30469,3.7253788087924695
7,1,45.3506,260.752,1.91355,4.19348,4.609441193127427
8,1,6.09766,260.753,2.54156,3.75097,4.530927407772055
9,1,79.3516,262.281,2.02303,2.79648,3.4515142722144434
10,1,238.246,264.344,2.24507,2.63159,3.459133595714395
11,1,373.147,265.829,4.45682,0.303328,4.467130218382266
12,1,461.789,266.846,5.71157,0.122423,5.71288186958465
13,1,495.822,267.844,6.73505,-0.982931,6.80639786181068
14,1,470.529,268.079,7.96997,-2.01616,8.221029311862353
15,1,390.971,268.189,6.69586,-1.84606,6.945680575955102
16,1,265.058,267.705,6.38245,-1.65252,6.592912129924075
17,1,113.85,266.814,6.40479,-2.41939,6.846516115237004
18,1,7.32617,265.814,3.50576,-1.95017,4.011672494920292
19,1,0.0,265.077,1.60966,-2.30265,2.809484354485712
20,1,46.9795,264.455,3.94221,-2.26925,4.548682803471792
21,1,47.5908,263.58,6.46779,0.537424,6.490079509518816
22,1,48.0498,262.955,0.593221,2.23411,2.3115273407297177
23,1,48.4639,262.359,5.48571,1.14665,5.6042680544920405
24,1,45.0078,261.831,0.34828,2.05793,2.0871930536728027
1,2,25.0674,264.056,0.397673,0.0223331,0.3982996137138599
2,2,29.3867,263.75,4.34304,-0.508509,4.372708296317169
3,2,30.2305,263.056,5.59531,-1.78893,5.874330986674141
4,2,34.3604,262.548,0.199283,1.81597,1.8268718496350531
5,2,42.3066,262.174,-0.138994,0.466063,0.48634766577521477
6,2,44.6211,261.552,0.895512,0.375978,0.9712369425778654
7,2,45.1104,260.806,1.45262,0.472776,1.5276197205378046
8,2,2.89453,260.625,3.95757,0.129875,3.9597004710615424
9,2,68.6172,262.142,4.16366,0.400972,4.182922798759738
10,2,209.09,264.695,3.87104,-0.824461,3.9578638963613946
11,2,334.022,266.439,6.37577,-2.25331,6.762236985569199
12,2,419.805,267.807,7.3268,-2.38246,7.704421710394623
13,2,455.806,268.682,8.74677,-2.54592,9.109758178969406
14,2,438.451,268.807,9.6438,-4.09526,10.477310385189513
15,2,367.362,268.684,8.76813,-3.7567,9.539019791723886
16,2,252.527,268.309,7.72034,-3.64764,8.53867245449783
17,2,111.624,267.309,8.01514,-3.96138,8.940637601647884
18,2,8.5625,266.306,5.19912,-3.67478,6.366699052319027
19,2,0.0,265.557,3.82939,-3.04679,4.893583255263978
20,2,47.5391,264.931,4.35529,-2.58858,5.066487678905378
21,2,47.7578,264.056,3.36232,-1.90301,3.863501370842257
22,2,47.8857,263.233,2.55709,-0.928972,2.7206062274581377
23,2,47.2432,262.802,2.83825,-1.01839,3.0154238930206807
24,2,45.1934,262.173,2.07582,-0.865898,2.249179410096936
1,3,22.3242,262.51,2.45334,-0.766729,2.5703599971679063
2,3,23.1348,262.356,2.62136,-1.38644,2.9654247795551987
3,3,26.7666,261.873,0.921478,-2.26549,2.4457241554566203
4,3,30.6992,261.264,1.58991,-0.892042,1.823061364261774
5,3,36.6025,261.171,1.20573,-1.46362,1.8963038620695787
6,3,43.6475,260.962,2.43848,-2.45019,3.456821624917896
7,3,44.4512,260.479,3.25437,-1.52234,3.5928321937574546
8,3,3.37695,260.709,5.04156,-2.88087,5.806611678982847
9,3,110.5,262.735,5.32577,-3.33536,6.283983801896692
