hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,41.3066,294.22,0.959139,-1.56403,1.8347036442491196
2,1,43.2539,294.591,-0.832352,0.131485,0.8426732208448302
3,1,44.3594,294.235,-0.502527,-3.37301,3.410238971953285
4,1,44.2754,294.205,-0.457573,-2.93548,2.9709284543268626
5,1,50.4785,294.204,1.68461,-3.73729,4.099420373199118
6,1,0.0,293.968,0.9046,-3.69604,3.8051298061432806
7,1,21.1816,294.204,1.26321,-3.70401,3.9134881607333374
8,1,140.975,295.641,0.381069,-3.57303,3.5932933311463735
9,1,310.64,297.282,-0.180622,-4.02542,4.029470248467409
10,1,478.546,298.969,-0.161907,-4.01099,4.014256426381976
11,1,597.284,300.674,-1.61369,-4.58057,4.856502542056371
12,1,670.966,301.704,-1.47241,-4.33705,4.580174004402016
13,1,686.632,302.674,-2.8292,-4.10131,4.982480943877256
14,1,654.755,303.314,-1.43908,-4.34903,4.58094020778486
15,1,562.185,303.704,-3.04165,-4.99333,5.8467922155144185
16,1,438.843,303.58,-0.740322,-5.19313,5.245633980805752
17,1,282.005,302.704,-2.48999,-4.32847,4.99356613463765
18,1,116.906,300.704,-1.60122,-6.90865,7.091780475374291
19,1,9.51562,298.435,-3.66733,-3.27672,4.917947060237636
20,1,0.0,298.187,-5.83051,-5.99253,8.360936709543974
21,1,22.6289,296.78,-7.20295,-5.38195,8.99154461174497
22,1,24.6924,295.684,-2.20074,-6.5738,6.932395184032717
23,1,23.6895,294.823,-2.08913,-6.45284,6.782595979601026
24,1,23.959,294.393,-3.85013,-5.48541,6.701732901645663
1,2,43.2041,294.765,-1.04574,0.16888,1.059288724569463
2,2,42.4629,294.386,0.208664,-1.60289,1.6164148653721295
3,2,40.1953,293.887,-0.566004,-1.59127,1.6889347947496374
4,2,45.2734,293.937,-0.571831,-1.99016,2.0706828627679807
5,2,49.7344,293.622,-1.24996,-0.671862,1.419083700365838
6,2,0.0,293.562,0.818663,-1.52074,1.7270956126309278
7,2,15.5918,293.755,-1.03757,-1.02335,1.4573251961727691
8,2,119.678,294.806,-3.23709,-0.652128,3.3021239523197794
9,2,268.358,296.056,0.700237,-0.598179,0.920950580764245
10,2,368.749,297.241,-1.46269,-1.24146,1.9185111330664726
11,2,503.987,299.317,-0.20256,-0.577637,0.6121234004422638
12,2,662.685,301.351,-0.452875,-1.48353,1.551114768972625
13,2,675.211,303.108,-1.64561,-2.32689,2.8499911130036883
14,2,651.99,304.007,-5.9342,-2.07071,6.2851069636164505
15,2,571.091,304.512,-3.03482,-1.76579,3.511146074503309
16,2,435.453,304.633,-2.1954,-3.42164,4.065390688433277
17,2,286.091,303.436,-4.0437,-5.64976,6.947754871006892
18,2,126.085,301.436,-2.07583,-5.55709,5.932142905982626
19,2,11.2109,299.363,-3.92416,-2.56773,4.689591566277388
20,2,0.0,298.18,-1.76703,-4.85972,5.171003142456984
21,2,22.9375,297.16,-2.21173,-4.2843,4.821511804703998
22,2,24.9297,295.985,-1.48492,-3.36481,3.677898005994728
23,2,24.0762,295.387,-3.72975,-3.6755,5.23644300193366
24,2,24.4375,294.533,-1.12259,-2.72564,2.9477655465962687
1,3,38.9512,294.376,-0.303556,-2.71051,2.7274549868395632
2,3,36.3691,294.389,-1.24641,-2.94469,3.197614280084451
3,3,39.5928,294.123,-0.688074,-3.71432,3.777514909550457
4,3,44.9268,293.671,-1.17046,-5.02141,5.156019297840147
5,3,47.7471,293.95,-1.20113,-6.43407,6.545224980227952
6,3,0.0,293.604,-0.987001,-5.8933,5.9753791397702125
7,3,30.9062,293.887,-0.629372,-5.72647,5.760951985156966
8,3,192.287,295.186,-0.87772,-4.51248,4.597049939776595
9,3,394.546,296.358,-0.95406,-2.00296,2.218575949838094
10,3,525.093,297.455,-1.25077,-2.71704,2.9911088168938287
11,3,658.534,298.86,-2.10393,-3.43994,4.032332903977547
12,3,745.888,300.185,-1.99487,-2.34974,3.0823342428263683
13,3,742.929,301.153,-1.70518,-2.20873,2.790363246120476
14,3,689.13,301.747,-1.52013,-2.03067,2.536615040915748
15,3,565.419,302.573,-5.06411,-1.3195,5.233191219714793
16,3,418.203,302.433,-3.72763,-0.658947,3.785424225329177
17,3,251.74,301.556,-5.56421,-0.106792,5.565234717005564
18,3,96.2649,300.31,-0.945946,-3.19674,3.333760708646618
19,3,8.44141,298.839,-2.11069,-4.92418,5.357477106670639
20,3,0.0,297.795,-4.03265,-6.76597,7.87658657436075
21,3,22.7568,296.669,-3.91095,-6.70422,7.761578171409472
22,3,23.9463,295.436,0.68988,-9.57966,9.60446875834369
23,3,23.4775,294.372,-1.59108,-9.72237,9.851701070541067
24,3,25.584,293.937,0.252409,-10.2139,10.217018327931148
1,4,42.7041,294.912,-0.973478,-0.136784,0.9830408328955618
2,4,40.167,294.246,-0.280594,-0.438828,0.5208675517058056
3,4,41.5869,294.153,-1.05331,-1.6694,1.97391953131327
4,4,46.6875,294.337,-1.98687,-2.96575,3.569779469294987
5,4,49.7158,294.392,-1.76461,-4.09618,4.460105272804668
6,4,0.0,294.037,-1.93134,-3.7268,4.197512648652771
7,4,20.6406,294.514,-1.10691,-3.46378,3.636347293163842
8,4,136.326,295.784,-1.02909,-2.22537,2.4517948252249817
9,4,307.64,296.985,-1.13765,-2.29105,2.5579596605497903
10,4,448.656,298.165,-1.43046,-3.49634,3.777645987543036
11,4,573.034,299.63,-1.8383,-3.56787,4.013607258676414
12,4,661.154,301.29,-0.744867,-3.35658,3.438234451588344
13,4,669.57,302.639,-1.13389,-3.63646,3.809140042542411
14,4,635.615,303.514,-1.64123,-2.99552,3.4156662575989474
15,4,564.857,304.183,-0.676418,-3.24137,3.311196277423614
16,4,431.5,304.453,-7.79599,-4.08278,8.800372299425746
17,4,264.162,303.927,-4.27612,-4.78941,6.420564648261085
18,4,124.71,302.254,-0.903954,-3.96529,4.0670207299958525
19,4,11.125,300.936,-4.06479,-3.32164,5.249362821686076
20,4,0.0,299.636,-5.39105,-4.08042,6.761157258849996
21,4,25.0488,298.496,-1.80744,-4.13586,4.513554839946004
22,4,25.7588,297.517,0.256287,-7.13435,7.138951810235801
23,4,24.8916,296.412,-2.8401,-7.113,7.659042825967224
24,4,26.0654,295.767,-0.273958,-7.06744,7.0727477785768675
1,5,40.1562,295.274,0.383944,0.449642,0.5912621443150238
2,5,39.6748,295.53,-0.713211,-2.74742,2.838483148958436
3,5,45.4678,294.896,-0.209558,1.1431,1.1621498033231343
4,5,46.7744,294.474,-1.65289,-0.175711,1.6622032690441324
5,5,50.6201,294.157,-2.14254,0.2964,2.162944893334086
6,5,0.0,293.693,0.530577,0.287851,0.6036308069755882
7,5,23.584,294.768,-1.04246,0.0318279,1.042945764082874
8,5,161.279,296.341,-1.69022,-1.04861,1.9890768161385826
9,5,260.905,296.794,-0.707966,-0.498569,0.8659023645405988
10,5,371.515,298.2,-2.32597,-0.30884,2.3463841515190986
11,5,424.894,299.101,-1.54338,-0.0366211,1.5438144089770667
12,5,548.076,300.844,-1.77221,-2.11244,2.7573775653145507
13,5,638.914,301.85,-3.0128,-0.724354,3.098653345780389
14,5,523.88,302.277,-5.18224,-1.05606,5.288749771089572
15,5,494.263,302.389,-5.56021,-3.72282,6.691436616788654
16,5,405.547,302.027,-4.57724,-2.66383,5.295952821400507
17,5,240.404,300.919,-3.71167,-1.28355,3.9273394036421143
18,5,94.3899,299.358,-3.62661,-0.584435,3.673399564616542
19,5,6.875,298.179,-2.78159,-2.49937,3.739531163795804
20,5,0.0,297.697,-7.96136,-4.70933,9.249921194177817
21,5,23.7734,296.09,-6.01545,-4.11633,7.289019918438967
22,5,23.2861,296.214,-6.7066,-6.59724,9.407553304531419
23,5,24.6221,295.662,-3.59987,-5.7048,6.745650973545844
24,5,26.7734,295.649,-1.75736,-6.68853,6.915543921522009
1,6,41.877,294.511,-2.4686,-2.88141,3.794273256909681
2,6,38.9277,294.631,-0.657547,-3.24352,3.3094999694227227
3,6,41.0771,294.742,-0.830652,-2.25583,2.4039034369133883
4,6,46.8477,294.737,-0.795464,-3.12151,3.221271124167601
5,6,50.1143,294.656,-1.01461,-3.60839,3.748321203445617
6,6,0.0,294.409,-0.74872,-3.23022,3.3158562825912705
7,6,9.78711,294.487,0.561058,-3.86807,3.908548529091586
8,6,77.8263,295.07,-1.78202,-2.98709,3.4782613398794515
9,6,177.655,296.105,-3.31734,-2.0806,3.9158193313277363
10,6,323.812,297.239,-1.10624,-4.36939,4.507253699282968
11,6,536.362,298.62,-0.062912,-4.74463,4.745047076335913
12,6,651.451,300.362,-2.22924,-4.36537,4.901628934803205
13,6,680.648,301.323,-3.7042,-4.11889,5.5395263761534705
14,6,636.583,302.114,-3.50939,-4.63321,5.812267464269
15,6,562.888,302.776,-1.96939,-4.46794,4.882723094309157
16,6,437.515,303.032,-2.72274,-4.93043,5.632268911593267
17,6,282.646,302.11,-1.16967,-7.06871,7.164830003077533
18,6,123.109,300.909,0.544289,-8.81881,8.835590547983818
19,6,12.6504,299.578,1.88443,-8.14586,8.360987475442121
20,6,0.0,298.781,-2.48871,-10.3441,10.639270758567054
21,6,23.7246,298.159,-3.30353,-9.02453,9.610174409541171
22,6,26.0107,297.284,-2.75641,-8.08161,8.538747933988917
23,6,25.1768,296.696,-4.45143,-7.57394,8.785203251405171
24,6,25.4727,295.821,-3.46439,-7.67096,8.416984340825401
1,7,39.4385,295.303,-1.51059,-1.26032,1.967304920570271
2,7,35.7871,295.334,0.577805,-2.38414,2.453157589235759
3,7,43.3213,294.908,-0.196863,-1.18893,1.2051180795544478
4,7,47.5273,294.948,-0.475151,-2.44427,2.490024960859027
5,7,48.458,294.642,0.1143,-1.86376,1.8672615852097425
6,7,0.0,294.359,-0.831728,-0.672598,1.0696539326286798
7,7,14.6211,294.786,-1.14304,-1.68155,2.0332611352455445
8,7,123.404,295.463,0.057827,-2.59939,2.600033140948207
9,7,257.202,296.513,0.525433,-1.73001,1.8080416028368929
10,7,405.624,298.144,-0.0759697,-2.09497,2.09634698850598
11,7,538.519,300.029,-1.37639,-2.42041,2.7843911363527933
12,7,653.138,301.519,-1.79077,-2.01966,2.6992376161612746
13,7,673.101,302.758,-2.22178,-2.11693,3.068826973503068
14,7,636.286,303.749,-2.64318,-1.4379,3.0089793821826034
15,7,556.763,304.374,-2.96353,-1.07145,3.15127199133937
16,7,412.203,304.249,-5.95126,-0.777111,6.00178282628762
17,7,261.787,303.353,-5.95874,-1.31089,6.101230611909371
18,7,112.421,302.354,-4.87954,-0.471153,4.902233752179613
19,7,10.5977,301.005,-1.57553,0.0426178,1.576106296471415
20,7,0.0,299.938,-2.22211,-2.12339,3.0735253283810757
21,7,23.418,299.197,-4.95197,-1.84484,5.284452810509334
22,7,23.3174,298.218,-5.88531,-3.12263,6.662408867144075
23,7,22.7783,297.036,-3.21022,-2.87081,4.306630063576392
24,7,24.8662,296.286,-0.136263,-3.06158,3.064610856465956
1,8,40.6045,295.26,-0.357267,-3.08991,3.110495702840465
2,8,36.7695,295.125,-2.3968,-3.10484,3.9223311519554285
3,8,41.4482,294.687,-2.29061,-3.32077,4.034155124062535
4,8,46.3516,294.654,-1.5816,-4.43059,4.704421995112683
5,8,48.21,294.727,-2.25777,-4.72411,5.235908771646045
6,8,0.0,294.529,-1.28876,-3.96313,4.1674094752615805
7,8,10.9902,294.562,-1.12254,-4.42472,4.564892455469241
8,8,93.2716,295.586,-2.83963,-4.01248,4.91563772946095
9,8,265.03,297.0,-1.75484,-3.91361,4.289033301071466
10,8,428.796,298.125,-0.271282,-4.93482,4.94227097151947
11,8,581.487,299.625,-1.79436,-5.20459,5.505223417600779
12,8,667.326,301.359,-1.28393,-4.27064,4.45946658856191
13,8,685.148,302.773,-2.1876,-3.70385,4.301639057673249
14,8,615.99,303.744,-2.74865,-4.02677,4.87544392393144
15,8,567.122,304.244,-2.12857,-4.70036,5.159863794181005
16,8,453.781,304.273,-4.69247,-5.63551,7.333365370755776
17,8,297.974,303.398,-3.62378,-6.74839,7.6598008512297495
18,8,134.835,301.687,-4.13052,-7.38717,8.463538035555816
19,8,13.3672,300.029,-1.43295,-6.42223,6.580150748683497
20,8,0.0,299.239,-6.57074,-9.60972,11.641363435010522
21,8,24.1592,298.25,-7.13166,-8.32336,10.96078902475547
22,8,25.0059,297.523,-2.65094,-7.62458,8.07227991709901
23,8,24.791,296.562,-6.48463,-6.69894,9.323423371299835
24,8,25.5947,295.75,-3.0474,-7.97369,8.53618058478732
1,9,38.1035,297.39,-0.245939,-2.42389,2.4363351008884226
2,9,37.9111,297.256,-0.481766,-3.90172,3.931350586904709
3,9,44.3457,296.799,-0.672449,-4.20407,4.257510096582391
4,9,46.6152,296.331,-0.114799,-3.19085,3.192914426178848
5,9,48.0908,296.092,-0.243122,-3.84227,3.8499541633354544
6,9,0.0,295.377,-1.1413,-1.55395,1.928036901228812
7,9,22.7988,295.489,-0.961403,-2.51505,2.6925401075766726
8,9,161.193,296.513,-0.927525,-4.40506,4.50165038949328
9,9,327.061,297.56,-2.43746,-3.47611,4.245533180143573
10,9,441.218,298.935,-2.39628,-3.08325,3.90494409702623
11,9,534.253,300.164,-1.37932,-3.22705,3.5094693850922822
12,9,604.872,301.589,-1.21557,-1.71986,2.1060695250869568
13,9,658.992,303.43,-2.98741,-1.56224,3.3712330571617266
14,9,605.583,304.502,-4.44884,-1.18985,4.605205789983765
15,9,530.763,305.08,-5.58364,-1.0529,5.682044883631244
16,9,402.203,305.083,-5.14755,-1.96656,5.51041098613343
17,9,258.091,304.533,-1.93725,-1.92027,2.727704975872574
18,9,103.406,303.533,-6.35317,-1.77877,6.597483744716618
19,9,8.69727,302.283,-6.84213,-0.345078,6.850826356213096
20,9,0.0,301.812,-1.25824,-4.24253,4.425181205159852
21,9,23.0059,300.654,-10.3944,-2.19836,10.624327651649303
22,9,22.7832,299.734,-4.24957,-4.82966,6.433075539778777
23,9,23.2529,298.448,-1.34889,-7.84347,7.958613313448518
24,9,25.6738,297.935,-4.02982,-7.27057,8.312679312790792
1,10,37.5977,296.189,-1.36703,-3.58503,3.836823050624045
2,10,36.1123,295.824,-2.32454,-3.09605,3.871564517620751
3,10,40.3311,295.68,-1.58163,-4.73727,4.9943248302248024
4,10,44.168,295.384,-2.3189,-4.03362,4.652675307218418
5,10,44.999,295.236,-1.8691,-4.94237,5.283990540008565
6,10,0.0,295.027,-1.00946,-3.96654,4.092975575690625
7,10,16.7598,294.972,-0.856911,-4.3212,4.405345151281679
8,10,134.522,296.139,-1.99295,-3.19021,3.761554139793817
9,10,310.64,297.597,-1.36519,-4.11625,4.336733540188975
10,10,457.452,298.505,-1.06523,-4.75708,4.8748871863151875
11,10,580.112,299.945,-0.684982,-5.35596,5.399584045269043
12,10,671.138,302.037,-2.10131,-1.03334,2.341643711519752
13,10,691.757,303.083,-1.83995,-2.59935,3.1846564061135383
14,10,633.505,303.949,-3.31115,-3.44864,4.7808819450076365
15,10,573.435,304.505,-4.99966,-3.58122,6.149937951231704
16,10,412.375,304.611,-4.51376,-4.01051,6.038064242594642
17,10,258.287,303.968,-5.24682,-5.38218,7.516447409833983
18,10,123.718,302.38,-3.39907,-4.70553,5.804798829055147
19,10,13.2363,300.912,-4.7562,-7.11363,8.5571706899477
20,10,0.0,299.805,-5.72406,-8.01206,9.846723735700113
21,10,23.4199,298.991,-5.53595,-7.79406,9.560026866390073
22,10,23.0225,298.347,-4.65778,-8.68513,9.855272580974104
23,10,22.7812,297.555,-4.54128,-8.23409,9.403375041255135
24,10,23.7871,296.759,-6.37357,-8.87213,10.924151467358918
1,11,42.2695,295.738,-1.26938,-3.3985,3.627826874921128
2,11,41.6631,295.589,-3.05403,-4.40562,5.3606517164706755
3,11,43.2822,295.301,-1.86093,-3.73874,4.1762707350577735
4,11,47.707,295.151,-1.48687,-4.17766,4.434368666732617
5,11,47.6318,295.113,-1.52437,-4.19774,4.465951746772461
