hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,15.4941,285.11,-0.135057,0.181841,0.22650947558545978
2,1,15.9639,286.449,1.06475,-0.182232,1.080231949316442
3,1,14.1621,286.622,0.0939941,-1.95377,1.9560296786436575
4,1,12.5986,285.059,-2.55444,-0.0136948,2.554476709846273
5,1,0.0,284.088,0.311387,4.36293,4.374027897564098
6,1,24.2832,286.186,0.434944,0.0286379,0.4358857791353258
7,1,109.029,287.634,3.46566,0.923287,3.586538459290378
8,1,264.967,290.04,-0.229886,0.138621,0.268446185737477
9,1,371.12,292.466,-0.191059,-1.60893,1.6202343307006553
10,1,376.817,293.842,-0.829422,0.24608,0.865156760641677
11,1,655.829,297.718,4.01893,3.16411,5.115016171724191
12,1,771.293,299.439,-2.40018,4.13664,4.782536410943465
13,1,775.854,300.924,4.00197,4.2248,5.819338357657165
14,1,708.367,302.172,5.51329,3.26406,6.407062845618108
15,1,781.009,301.814,4.42605,2.37601,5.0234790855143405
16,1,661.323,301.066,3.92575,3.37973,5.180162925565179
17,1,504.535,301.314,4.1069,4.44455,6.051500005164009
18,1,324.562,299.939,3.01251,4.02228,5.025331123269391
19,1,146.77,297.425,2.38175,4.99669,5.535308845818813
20,1,19.918,293.187,0.72995,4.49084,4.54977701740426
21,1,0.0,291.687,1.98786,5.71405,6.049954940501624
22,1,17.2764,290.732,2.90951,2.83917,4.065234892229476
23,1,13.4521,288.786,4.81133,1.65991,5.089616643422174
24,1,10.4941,287.714,0.368245,0.394116,0.5393809428233445
1,2,16.4404,286.182,-1.85674,-0.012495,1.8567820423046428
2,2,17.3408,286.307,-2.91767,2.99355,4.180208108623302
3,2,15.2529,286.286,-2.33862,-0.528965,2.3976962851088963
4,2,14.2686,285.788,-4.27807,-0.912132,4.374227670152069
5,2,0.0,285.691,-4.13978,3.06898,5.153291830354652
6,2,19.8516,286.258,-1.61291,0.0022707,1.6129115983768267
7,2,101.349,288.387,-1.03238,5.20454,5.305944315199699
